<SIL>	SIL
SAINTE	S EY N T
SAINTED	S EY N T IH D
SAINTS	S EY N T S
SAIRSVILLE	S AE AH R S V AH L
SAITH	S EY TH
SAK	S AE K
SAKE	S EY K
SAKES	S EY K S
SAKI	S AA K IY
SAKI'S	S AA K IY Z
SAKKED	S AE K T
SAL	S AE L
SALAD	S AE L AH D
SALADS	S AE L AH D Z
SALAMANCA	S AE L AH M AE NG K AH
SALAMIS	S AH L AA M IY Z
SALARIED	S AE L ER IY D
SALARIES	S AE L ER IY Z
SALARY	S AE L ER IY
SALE	S EY L
SALEM	S EY L AH M
SALERATUS	S AE L AH R EY T AH S
SALERNO	S AH L EH R N OW
SALES	S EY L Z
SALESMAN	S EY L Z M AH N
SALIENT	S EY L IY AH N T
SALIENT(2)	S EY L Y AH N T
SALINE	S AH L IY N
SALISBURY	S AE L Z B ER IY
SALLOW	S AE L OW
SALLUST	S AE L AH S T
SALLY	S AE L IY
SALMON	S AE M AH N
SALON	S AH L AA N
SALOON	S AH L UW N
SALOONS	S AH L UW N Z
SALT	S AO L T
SALTED	S AO L T AH D
SALTED(2)	S AO L T IH D
SALTER	S AO L T ER
SALTERELLO	S AE L T AH R EH L OW
SALTPETRE	S AE L T AH T AH R
SALTS	S AO L T S
SALTWATER	S AO L T W AA T ER
SALTY	S AO L T IY
SALUT	S AE L AH T
SALUTARY	S AE L Y AH T EH R IY
SALUTATION	S AE L Y AH T EY SH AH N
SALUTATIONS	S AE L Y AH T EY SH AH N Z
SALUTE	S AH L UW T
SALUTED	S AH L UW T AH D
SALUTES	S AH L UW T S
SALUTING	S AH L UW T IH NG
SALVATION	S AE L V EY SH AH N
SALVER	S AA V ER
SALVERS	S AA V ER Z
SAM	S AE M
SAM'S	S AE M Z
SAMARIA	S EY M ER IY AH
SAME	S EY M
SAMENESS	S EY M N AH S
SAMPLE	S AE M P AH L
SAMPLED	S AE M P AH L D
SAMPLES	S AE M P AH L Z
SAMPSON	S AE M P S AH N
SAMSON	S AE M S AH N
SAMSON'S	S AE M S AH N Z
SAMUEL	S AE M Y UW L
SAMURAI	S AE M UH R AY
SAMURAI(2)	S AE M ER AY
SAN	S AE N
SANCH	S AE N CH
SANCH'S	S AE N CH AH Z
SANCHO	S AA N K OW
SANCTIFIED	S AE NG K T AH F AY D
SANCTIFYING	S AE NG K T AH F AY IH NG
SANCTIMONIOUS	S AE NG K T AH M OW N IY AH S
SANCTION	S AE NG K SH AH N
SANCTIONED	S AE NG K SH AH N D
SANCTITIES	S AE NG K T AH T IY Z
SANCTITY	S AE NG K T IH T IY
SANCTUARY	S AE NG K CH UW EH R IY
SANCTUM	S AE NG K T AH M
SANCY	S AE N S IY
SAND	S AE N D
SANDAL	S AE N D AH L
SANDED	S AE N D IH D
SANDPIPER	S AE N D P AY P ER
SANDS	S AE N D Z
SANDSEND	S AE N D S EH N D
SANDSTONE	S AE N D S T OW N
SANDSTONE(2)	S AE N S T OW N
SANDWICHES	S AE N D W IH CH IH Z
SANDWICHES(2)	S AE N W IH CH IH Z
SANDWICHES(3)	S AE M W IH CH IH Z
SANDY	S AE N D IY
SANDYS	S AE N D IY Z
SANE	S EY N
SANFORD	S AE N F ER D
SANG	S AE NG
SANGREAL	S AE NG R IY L
SANGUINARY	S AE N G W AH N EH R IY
SANGUINE	S AE NG G W IH N
SANGUINEOUS	S AE N G W IH N IY AH S
SANITARIUM	S AE N AH T EH R IY AH M
SANITARIUMS	S AE N AH T EH R IY AH M Z
SANITARY	S AE N IH T EH R IY
SANITY	S AE N AH T IY
SANK	S AE NG K
SANKEY	S AE NG K IY
SANNA	S AE N AH
SANNELLA	S AE N EH L AH
SANS	S AE N Z
SANSCRIT	S AE N S R AH T
SANTA	S AE N T AH
SANTA(2)	S AE N AH
SANTAYANA	S AE N T AY AA N AH
SANTIAGO	S AE N T IY AA G OW
SAP	S AE P
SAPLINGS	S AE P L IH NG Z
SAPPHIRE	S AE F AY ER
SAPPHIRES	S AE F AY ER Z
SAPPHO	S AE P OW
SAPS	S AE P S
SAPWOOD	S AE P W UH D
SARA	S EH R AH
SARACENS	S EH R AH S AH N Z
SARAGOSSA	S AE R AH G AA S AH
SARAH	S EH R AH
SARAH'S	S EH R AH Z
SARAMA	S AE R AH M AH
SARCASM	S AA R K AE Z AH M
SARCASTIC	S AA R K AE S T IH K
SARCASTICALLY	S AA R K AE S T IH K L IY
SARDANAPALUS	S AA R D AH N AE P AH L AH S
SARDINE	S AA R D IY N
SARDINES	S AA R D IY N Z
SARDONIC	S AA R D AA N IH K
SARDONICALLY	S AA R D AA N IH K AH L IY
SARDONICALLY(2)	S AA R D AA N IH K L IY
SARDUS	S AA R D AH S
SARGASSO	S AA R G AE S OW
SARMIENTO	S AA R M IY N T OW
SARVE	S AA R V
SARVED	S AA R V D
SASH	S AE SH
SASHES	S AE SH IH Z
SASSAFRAS	S AE S AH F R AE S
SASSED	S AE S T
SASSIETY	S AE S AY AH T IY
SASSIFIED	S AE S AH F AY D
SASSY	S AE S IY
SASTRUGI	S AE S T R AH JH IY
SAT	S AE T
SATAN	S EY T AH N
SATANIC	S AH T AE N IH K
SATCHEL	S AE CH AH L
SATCHELL	S AE CH AH L
SATCHELL'S	S AE CH AH L Z
SATE	S EY T
SATED	S EY T IH D
SATELLITE	S AE T AH L AY T
SATELLITES	S AE T AH L AY T S
SATIN	S AE T AH N
SATINS	S AE T AH N Z
SATIRE	S AE T AY ER
SATIRICAL	S AH T IH R AH K AH L
SATIRICAL(2)	S AH T IH R IH K AH L
SATIRIST	S AE T ER AH S T
SATIRIZES	S AE T ER AY Z IH Z
SATIS	S AE T IY Z
SATISFACTION	S AE T AH S F AE K SH AH N
SATISFACTION(2)	S AE T IH S F AE K SH AH N
SATISFACTIONS	S AE T AH S F AE K SH AH N Z
SATISFACTORILY	S AE T IH S F AE K T R AH L IY
SATISFACTORY	S AE T AH S F AE K T R IY
SATISFACTORY(2)	S AE T IH S F AE K T ER IY
SATISFIED	S AE T AH S F AY D
SATISFIED(2)	S AE T IH S F AY D
SATISFY	S AE T AH S F AY
SATISFY(2)	S AE T IH S F AY
SATISFYING	S AE T IH S F AY IH NG
SATOURIONA	S AE T AH R IY AH N AH
SATURATED	S AE CH ER EY T AH D
SATURATED(2)	S AE CH ER EY T IH D
SATURATING	S AE CH ER EY T IH NG
SATURDAY	S AE T ER D IY
SATURDAY(2)	S AE T IH D EY
SATURDAYS	S AE T ER D IY Z
SATURDAYS(2)	S AE T ER D EY Z
SATURN	S AE T ER N
SATURNALIA	S AE T AH R N EY L Y AH
SATURNINE	S AE T AH R N AY N
SAUCE	S AO S
SAUCEPAN	S AO S P AE N
SAUCER	S AO S ER
SAUCERFUL	S AO S ER F AH L
SAUCERS	S AO S ER Z
SAUCY	S AO S IY
SAUL	S AO L
SAUNTERED	S AO N T IY R D
SAUNTERING	S AO N T IY R AH NG
SAUSAGE	S AO S AH JH
SAUSAGE(2)	S AO S IH JH
SAUSAGES	S AO S IH JH IH Z
SAUVAGE	S AO V IH JH
SAVAGE	S AE V AH JH
SAVAGE(2)	S AE V IH JH
SAVAGENESS	S AE V IH JH N AH S
SAVAGERY	S AE V IH JH EH R IY
SAVAGES	S AE V AH JH AH Z
SAVAGES(2)	S AE V IH JH IH Z
SAVANNAH	S AH V AE N AH
SAVANNAS	S AH V AE N AH Z
SAVANT	S AH V AA N T
SAVANTS	S AE V AH N T S
SAVAREEN	S AH V AE R IY AH N
SAVE	S EY V
SAVED	S EY V D
SAVELL	S AA V EY L
SAVELL'S	S AA V EY L Z
SAVERS	S EY V ER Z
SAVES	S EY V Z
SAVEZ	S AE V AH Z
SAVING	S EY V IH NG
SAVIOUR	S EY V Y ER
SAVIOUR'S	S EY V Y ER Z
SAVONAROLA	S AE V AH N AE R AH L AH
SAVOR	S EY V ER
SAVORED	S EY V ER D
SAVORS	S EY V ER Z
SAVORY	S EY V ER IY
SAVOUR	S AE V AH R
SAVOURED	S AH V OW Y AH R D
SAVOURING	S AH V OW Y AH R AH NG
SAVOURY	S AH V AW R IY
SAVOY	S AH V OY
SAW	S AO
SAWDER	S AO D AH R
SAWEST	S AO AH S T
SAWING	S AO IH NG
SAWPIT	S AO P IH T
SAWS	S AO Z
SAWYER	S AO Y ER
SAWYER(2)	S OY ER
SAWYERS	S AO Y ER Z
SAXO	S AE K S OW
SAXON	S AE K S AH N
SAXONS	S AE K S AH N Z
SAXONY	S AE K S AH N IY
SAY	S EY
SAYIN	S EY IH N
SAYING	S EY IH NG
SAYINGS	S EY IH NG Z
SAYN	S EY N
SAYNE	S EY N
SAYS	S EH Z
SAYS(2)	S IH Z
SAZEN	S EY Z AH N
SAZEN'S	S AE Z AH N Z
SCABBARDS	S K AE B ER D Z
SCABBED	S K AE B D
SCAFFOLD	S K AE F AH L D
SCALD	S K AO L D
SCALDED	S K AO L D IH D
SCALDING	S K AO L D IH NG
SCALE	S K EY L
SCALED	S K EY L D
SCALES	S K EY L S
SCALES(2)	S K EY L Z
SCALIGER	S K AH L AY JH AH R
SCALING	S K EY L IH NG
SCALLOPED	S K AA L AH P T
SCALLOPS	S K AE L AH P S
SCALP	S K AE L P
SCALPED	S K AE L P T
SCALPING	S K AE L P IH NG
SCALPS	S K AE L P S
SCALY	S K EY L IY
SCAMP	S K AE M P
SCAMPER	S K AE M P ER
SCAMPERED	S K AE M P ER D
SCAMPERING	S K AE M P ER IH NG
SCAN	S K AE N
SCANDAL	S K AE N D AH L
SCANDALIZED	S K AE N D AH L AY Z D
SCANDALOUS	S K AE N D AH L AH S
SCANDALOUSLY	S K AE N D AH L AH S L IY
SCANDALS	S K AE N D AH L Z
SCANDIA	S K AE N D IY AH
SCANNED	S K AE N D
SCANNING	S K AE N IH NG
SCANT	S K AE N T
SCANTILY	S K AE N T AH L IY
SCANTINESS	S K AE N T IY N AH S
SCANTLINGS	S K AE N T L IH NG Z
SCANTY	S K AE N T IY
SCAPEGOAT	S K EY P G OW T
SCAPEGOATS	S K EY P G OW T S
SCAR	S K AA R
SCARCE	S K EH R S
SCARCELY	S K EH R S L IY
SCARCER	S K EH R S ER
SCARCITY	S K EH R S IH T IY
SCARE	S K EH R
SCARED	S K EH R D
SCARF	S K AA R F
SCARFE	S K AA R F
SCARFED	S K AA R F T
SCARFS	S K AA R F S
SCARING	S K EH R IH NG
SCARLATTI	S K AA R L AE T IY
SCARLET	S K AA R L AH T
SCARRED	S K AA R D
SCARRON	S K AE R AH N
SCARVES	S K AA R V Z
SCATHELOCK	S K EY DH L AA K
SCATHING	S K EY DH IH NG
SCATTER	S K AE T ER
SCATTERED	S K AE T ER D
SCATTERING	S K AE T ER IH NG
SCATTERINGLY	S K AE T ER IH NG L IY
SCATTERINGS	S K AE T ER IH NG Z
SCAVENGERS	S K AE V AH N JH ER Z
SCENARIOS	S IH N EH R IY OW Z
SCENE	S IY N
SCENERY	S IY N ER IY
SCENES	S IY N Z
SCENT	S EH N T
SCENTED	S EH N T IH D
SCENTING	S EH N T IH NG
SCENTS	S EH N T S
SCEPTER	S EH P T AH R
SCEPTIC	S K EH P T IH K
SCEPTICS	S K EH P T IH K S
SCEPTRE	S EH P T ER
SCEPTRE(2)	S K EH P T ER
SCHANZ	SH AE N S
SCHEDULE	S K EH JH UH L
SCHEDULE(2)	S K EH JH UW L
SCHEHERAZADE	S K AH HH EH R AH Z EY D
SCHEMATIC	S K IH M AE T IH K
SCHEMATICALLY	S K IH M AE T IH K AH L IY
SCHEME	S K IY M
SCHEMED	S K IY M D
SCHEMERS	S K IY M ER Z
SCHEMES	S K IY M Z
SCHEMING	S K IY M IH NG
SCHERIN	S K EH R AH N
SCHEUCHZER'S	S K Y UW CH Z AH R Z
SCHEVELING	S K AH V IY L AH NG
SCHEVENINGEN	S K EH V AH N IH N JH AH N
SCHISMATICS	S K IH Z AH M AH T IH K S
SCHLOSSER	SH L AO S ER
SCHNECK	SH N EH K
SCHOLAR	S K AA L ER
SCHOLARLY	S K AA L ER L IY
SCHOLARS	S K AA L ER Z
SCHOLARSHIP	S K AA L ER SH IH P
SCHOOL	S K UW L
SCHOOLBOY	S K UW L B OY
SCHOOLBOYS	S K UW L B OY Z
SCHOOLED	S K UW L D
SCHOOLFELLOW	S K UW L F EH L OW
SCHOOLFELLOWS	S K UW L F EH L OW Z
SCHOOLGIRLS	S K UW L G ER L Z
SCHOOLING	S K UW L IH NG
SCHOOLMASTER	S K UW L M AE S T ER
SCHOOLMATE	S K UW L M EY T
SCHOOLROOM	S K UW L R UW M
SCHOOLS	S K UW L Z
SCHOONER'S	S K UW N ER Z
SCHOONERS	S K UW N ER Z
SCHOPENHAUER	S K AH P EH N HH AH AH R
SCHOSS	S K AA S
SCHRINER	SH R AY N ER
SCHUKERT	S K Y UW K AH R T
SCHUMANN	SH UW M AH N
SCHUYLER	S K AY L ER
SCHWARTZ	SH W AO R T S
SCIENCE	S AY AH N S
SCIENCES	S AY AH N S AH Z
SCIENCES(2)	S AY AH N S IH Z
SCIENTIFIC	S AY AH N T IH F IH K
SCIENTIFICALLY	S AY AH N T IH F IH K AH L IY
SCIENTIFICALLY(2)	S AY AH N T IH F IH K L IY
SCIENTIST	S AY AH N T IH S T
SCIENTIST'S	S AY AH N T IH S T S
SCIENTISTS	S AY AH N T IH S T S
SCIENTISTS(2)	S AY N T IH S T S
SCIENTISTS(3)	S AY N T IH S
SCIENTISTS(4)	S AY AH N T IH S
SCILLY	S IH L IY
SCINTILLATED	S IH N T AH L EY T IH D
SCINTILLATING	S IH N T AH L EY T IH NG
SCION	S AY AH N
SCISSORS	S IH Z ER Z
SCOFF	S K AO F
SCOFFED	S K AO F T
SCOFFING	S K AA F IH NG
SCOLD	S K OW L D
SCOLDED	S K OW L D AH D
SCOLDED(2)	S K OW L D IH D
SCOLDING	S K OW L D IH NG
SCOLDINGS	S K OW L D IH NG Z
SCOLLOPS	S K AA L AH P S
SCONCES	S K AA N S IH Z
SCONES	S K OW N Z
SCOOP	S K UW P
SCOOPED	S K UW P T
SCOPE	S K OW P
SCORCH	S K AO R CH
SCORCHED	S K AO R CH T
SCORCHING	S K AO R CH IH NG
SCORE	S K AO R
SCORED	S K AO R D
SCORES	S K AO R Z
SCORIA	S K AO R IY AH
SCORN	S K AO R N
SCORNED	S K AO R N D
SCORNFUL	S K AO R N F AH L
SCORNFULLY	S K AO R N F AH L IY
SCORNING	S K AO R N IH NG
SCORPION	S K AO R P IY AH N
SCORPIONFISH	S K AO R P IY AA N F AH SH
SCORPIONS	S K AO R P IY AH N Z
SCOT	S K AA T
SCOTCH	S K AA CH
SCOTCHMAN	S K AA CH M AE N
SCOTCHMEN	S K AA CH M EH N
SCOTCHWOMAN	S K AA CH W UH M AH N
SCOTIA	S K OW SH AH
SCOTIA'S	S K OW SH AH Z
SCOTLAND	S K AA T L AH N D
SCOTS	S K AA T S
SCOTT	S K AA T
SCOTTISH	S K AA T IH SH
SCOUNDREL	S K AW N D R AH L
SCOUNDRELS	S K AW N D R AH L Z
SCOURGE	S K ER JH
SCOURGINGS	S K ER JH IH NG Z
SCOURING	S K AW ER IH NG
SCOUT	S K AW T
SCOUTING	S K AW T IH NG
SCOUTS	S K AW T S
SCOWL	S K AW L
SCOWLED	S K AW L D
SCOWLING	S K AW L IH NG
SCRAG	S K R AE G
SCRAMBLE	S K R AE M B AH L
SCRAMBLED	S K R AE M B AH L D
SCRAMBLING	S K R AE M B AH L IH NG
SCRAMBLING(2)	S K R AE M B L IH NG
SCRAMBRIDGE	S K R AE M B R AH JH
SCRAP	S K R AE P
SCRAPE	S K R EY P
SCRAPED	S K R EY P T
SCRAPES	S K R EY P S
SCRAPING	S K R EY P IH NG
SCRAPPER	S K R AE P ER
SCRAPPER'S	S K R AE P ER Z
SCRAPS	S K R AE P S
SCRATCH	S K R AE CH
SCRATCHED	S K R AE CH T
SCRATCHES	S K R AE CH AH Z
SCRATCHES(2)	S K R AE CH IH Z
SCRATCHING	S K R AE CH IH NG
SCRATCHINGS	S K R AE CH IH NG Z
SCRATTED	S K R AE T AH D
SCRAWL	S K R AO L
SCRAWLED	S K R AO L D
SCRAWLS	S K R AO L Z
SCRAWNY	S K R AO N IY
SCREAM	S K R IY M
SCREAMED	S K R IY M D
SCREAMING	S K R IY M IH NG
SCREAMS	S K R IY M Z
SCREECH	S K R IY CH
SCREECHER	S K R IY CH ER
SCREECHIN	S K R IY CH IH N
SCREECHING	S K R IY CH IH NG
SCREEN	S K R IY N
SCREENED	S K R IY N D
SCREENS	S K R IY N Z
SCREW	S K R UW
SCREW'S	S K R UW Z
SCREWED	S K R UW D
SCREWING	S K R UW IH NG
SCREWS	S K R UW Z
SCRIBBLE	S K R IH B AH L
SCRIBBLED	S K R IH B AH L D
SCRIBBLERS	S K R IH B L ER Z
SCRIBBLING	S K R IH B AH L IH NG
SCRIBBLING(2)	S K R IH B L IH NG
SCRIBE	S K R AY B
SCRIBES	S K R AY B Z
SCRIMMAGE	S K R IH M IH JH
SCRIMP	S K R IH M P
SCRIP	S K R IH P
SCRIPTA	S K R IH P T AH
SCRIPTURE	S K R IH P CH ER
SCRIPTURES	S K R IH P CH ER Z
SCRIVENER	S K R IH V N ER
SCROFULA	S K R AA F Y UW L AH
SCROLL	S K R OW L
SCRUB	S K R AH B
SCRUBBED	S K R AH B D
SCRUBBING	S K R AH B IH NG
SCRUFF	S K R AH F
SCRUPLE	S K R UW P AH L
SCRUPLED	S K R AH P AH L D
SCRUPLES	S K R UW P AH L Z
SCRUPULOUS	S K R UW P Y AH L AH S
SCRUPULOUSLY	S K R UW P Y AH L AH S L IY
SCRUTINIZED	S K R UW T AH N AY Z D
SCRUTINIZING	S K R UW T AH N AY Z IH NG
SCRUTINY	S K R UW T AH N IY
SCUDDING	S K AH D IH NG
SCUDO	S K Y UW D OW
SCUFF	S K AH F
SCUFFLE	S K AH F AH L
SCUFFLING	S K AH F AH L IH NG
SCULL	S K AH L
SCULPTED	S K AH L P T IH D
SCULPTOR	S K AH L P T ER
SCULPTURAL	S K AH L P CH ER AH L
SCULPTURE	S K AH L P CH ER
SCULPTURED	S K AH L P CH ER D
SCULPTURES	S K AH L P CH ER Z
SCUPPERS	S K AH P ER Z
SCURRILITY	S K ER AH L AH T IY
SCURRY	S K ER IY
SCURRYING	S K ER IY IH NG
SCURVILEGS	S K AH R V AH L AH G Z
SCURVY	S K ER V IY
SCUTTLE	S K AH T AH L
SCUTTLED	S K AH T AH L D
SCYTHE	S IH TH
SCYTHE(2)	S AY TH
SE	S EY
SEA	S IY
SEA'S	S IY Z
SEABOARD	S IY B AO R D
SEABRIGHT	S IY B R AY T
SEABURY	S IY B EH R IY
SEAFARING	S IY F EH R IH NG
SEAFLOOR	S IY F L OW R
SEAL	S IY L
SEALED	S IY L D
SEALING	S IY L IH NG
SEALS	S IY L Z
SEALSKIN	S IY L S K IH N
SEAMAN	S IY M AH N
SEAMAN'S	S IY M AH N Z
SEAMANSHIP	S IY M AE N SH IH P
SEAMED	S IY M D
SEAMEN	S IY M AH N
SEAMS	S IY M Z
SEAPORT	S IY P AO R T
SEAR	S IH R
SEARCH	S ER CH
SEARCHED	S ER CH T
SEARCHERS	S ER CH ER Z
SEARCHING	S ER CH IH NG
SEARCHINGLY	S ER CH IH NG L IY
SEARCHLIGHTS	S ER CH L AY T S
SEARS	S IH R Z
SEAS	S IY Z
SEASHELL	S IY SH EH L
SEASHELLS	S IY SH EH L Z
SEASHORE	S IY SH AO R
SEASICK	S IY S IH K
SEASICKNESS	S IY S IH K N AH S
SEASIDE	S IY S AY D
SEASON	S IY Z AH N
SEASON'S	S IY Z AH N Z
SEASONABLE	S IY Z AH N AH B AH L
SEASONED	S IY Z AH N D
SEASONING	S IY Z AH N IH NG
SEASONS	S IY Z AH N Z
SEAT	S IY T
SEATED	S IY T AH D
SEATED(2)	S IY T IH D
SEATING	S IY T IH NG
SEATS	S IY T S
SEATTLE	S IY AE T AH L
SEAWARD	S IY W ER D
SEAWEED	S IY W IY D
SEAWEEDS	S IY W IY D Z
SEBASTIAN	S AH B AE S CH AH N
SEBASTOPOL	S AH B AE S T AH P AH L
SEBASTOPOLIS	S AH B AE S T AA P AH L AH S
SEC	S EH K
SECEDE	S IH S IY D
SECH	S EH CH
SECLUDE	S AH K L UW D
SECLUDED	S IH K L UW D IH D
SECLUDING	S IH K L UW D IH NG
SECLUSION	S IH K L UW ZH AH N
SECLUSIONS	S IH K L UW ZH AH N Z
SECOND	S EH K AH N D
SECONDARY	S EH K AH N D EH R IY
SECONDING	S EH K AH N D IH NG
SECONDLY	S EH K AH N D L IY
SECONDS	S EH K AH N D Z
SECRECY	S IY K R AH S IY
SECRET	S IY K R AH T
SECRET'S	S IY K R AH T S
SECRET(2)	S IY K R IH T
SECRETARIES	S EH K R AH T EH R IY Z
SECRETARY	S EH K R AH T EH R IY
SECRETARYSHIP	S EH K R AH T EH R IY SH IH P
SECRETE	S IH K R IY T
SECRETED	S AH K R IY T AH D
SECRETING	S IH K R IY T IH NG
SECRETION	S AH K R IY SH AH N
SECRETLY	S IY K R IH T L IY
SECRETS	S IY K R IH T S
SECT	S EH K T
SECTARIES	S EH K T EH R IY Z
SECTION	S EH K SH AH N
SECTIONS	S EH K SH AH N Z
SECTS	S EH K T S
SECULAR	S EH K Y AH L ER
SECUNDEM	S AH K AH N D AH M
SECURE	S IH K Y UH R
SECURED	S IH K Y UH R D
SECURELY	S IH K Y UH R L IY
SECURES	S IH K Y UH R Z
SECURING	S IH K Y UH R IH NG
SECURITIES	S IH K Y UH R AH T IY Z
SECURITY	S IH K Y UH R AH T IY
SEDATE	S IH D EY T
SEDATIVE	S EH D AH T IH V
SEDENTARY	S EH D AH N T EH R IY
SEDGES	S EH JH AH Z
SEDIMENTARY	S EH D AH M EH N T ER IY
SEDIMENTATION	S EH D AH M AH N T EY SH AH N
SEDIMENTS	S EH D AH M AH N T S
SEDITION	S IH D IH SH AH N
SEDITIOUS	S IH D IH SH AH S
SEDUCED	S IH D UW S T
SEDUCTION	S IH D AH K SH AH N
SEDUCTIVE	S IH D AH K T IH V
SEDUCTIVELY	S AH D AH K T IH V L IY
SEE	S IY
SEED	S IY D
SEEDED	S IY D AH D
SEEDED(2)	S IY D IH D
SEEDS	S IY D Z
SEEDY	S IY D IY
SEEING	S IY IH NG
SEEK	S IY K
SEEKER	S IY K ER
SEEKERS	S IY K ER Z
SEEKETH	S IY K IH TH
SEEKING	S IY K IH NG
SEEKS	S IY K S
SEEM	S IY M
SEEM'D	S IY M D
SEEMED	S IY M D
SEEMING	S IY M IH NG
SEEMINGLY	S IY M IH NG L IY
SEEMS	S IY M Z
SEEN	S IY N
SEER	S IY R
SEERS	S IY R Z
SEES	S IY Z
SEESAW	S IY S AO
SEEST	S IY AH S T
SEETHE	S IY DH
SEETHING	S IY DH IH NG
SEGAKI	S EH G AH K IY
SEGO	S IY G OW
SEGOUIN	S EH G AW AH N
SEGOUIN'S	S EH G AW AH N Z
SEGREGATE	S EH G R AH G EY T
SEGREGATION	S EH G R AH G EY SH AH N
SEGREGATIONS	S EH G R IH G EY SH AH N Z
SEIZE	S IY Z
SEIZED	S IY Z D
SEIZES	S IY Z IH Z
SEIZING	S IY Z IH NG
SEIZURE	S IY ZH ER
SELDEN	S EH L D AH N
SELDOM	S EH L D AH M
SELECT	S AH L EH K T
SELECTED	S AH L EH K T AH D
SELECTED(2)	S AH L EH K T IH D
SELECTING	S AH L EH K T IH NG
SELECTION	S AH L EH K SH AH N
SELECTIONS	S AH L EH K SH AH N Z
SELECTIVELY	S AH L EH K T IH V L IY
SELECTIVENESS	S AH L EH K T IH V N AH S
SELECTMAN	S AH L EH K T M AE N
SELENITES	S EH L AH N AY T S
SELF	S EH L F
SELFISH	S EH L F IH SH
SELFISHLY	S EH L F IH SH L IY
SELFISHNESS	S EH L F IH SH N AH S
SELFLESSNESS	S EH L F L AH S N IH S
SELFSAME	S EH L F S EY M
SELL	S EH L
SELLEN	S EH L AH N
SELLEN'S	S EH L AH N Z
SELLERS	S EH L ER Z
SELLING	S EH L IH NG
SELLS	S EH L Z
SELTZER	S EH L T S ER
SEMANTIC	S IH M AE N T IH K
SEMBLANCE	S EH M B L AH N S
SEMBLED	S EH M B AH L D
SEMENOVSK	S EH M AH N AH V S K
SEMESTER	S AH M EH S T ER
SEMI	S EH M IY
SEMI(2)	S EH M AY
SEMICIRCLE	S EH M IY S ER K AH L
SEMICIRCULAR	S EH M IY S ER K Y AH L ER
SEMICIRCULAR(2)	S EH M AY S ER K Y AH L ER
SEMICIRCULAR(3)	S EH M AH S ER K Y AH L ER
SEMIDARKNESS	S EH M IY D AA R K N AH S
SEMINARY	S EH M AH N EH R IY
SEMISPHERIC	S EH M IY S F IH ER IH K
SEMITES	S AH M AY T S
SEN	S EH N
SENATE	S EH N AH T
SENATE(2)	S EH N IH T
SENATEUR	S AH N EY T AH R
SENATOR	S EH N AH T ER
SENATORS	S EH N AH T ER Z
SENCE	S EH N S
SEND	S EH N D
SENDING	S EH N D IH NG
SENDS	S EH N D Z
SENESCHAL	S AH N EH S AH L
SENILE	S IY N AY L
SENIOR	S IY N Y ER
SENIORATU	S IY N IY AO R AH T UW
SENIORS	S IY N Y ER Z
SENNET	S EH N AH T
SENOR	S IY N Y AO R
SENORA	S IY N Y AO R AH
SENORITA	S AH N AO R AH T AH
SENSATION	S EH N S EY SH AH N
SENSATIONAL	S EH N S EY SH AH N AH L
SENSATIONALISM	S EH N S EY SH AH N AH L IH Z AH M
SENSATIONS	S EH N S EY SH AH N Z
SENSE	S EH N S
SENSED	S EH N S T
SENSELESS	S EH N S L AH S
SENSES	S EH N S IH Z
SENSIBILITIES	S EH N S IH B IH L IH T IY Z
SENSIBILITY	S EH N S IH B IH L IH T IY
SENSIBLE	S EH N S AH B AH L
SENSIBLY	S EH N S AH B L IY
SENSITIVE	S EH N S AH T IH V
SENSITIVE(2)	S EH N S IH T IH V
SENSITIVENESS	S EH N S AH T IH V N AH S
SENSORIAL	S EH N S ER IY AH L
SENSORIUM	S EH N S AO R IY AH M
SENSORY	S EH N S ER IY
SENSUAL	S EH N SH AH W AH L
SENSUOUS	S EH N SH AH W AH S
SENSUOUSNESS	S EH N CH AH W AH S N AH S
SENSUS	S EH N Z AH S
SENT	S EH N T
SENTENCE	S EH N T AH N S
SENTENCED	S EH N T AH N S T
SENTENCES	S EH N T AH N S AH Z
SENTENCES(2)	S EH N T AH N S IH Z
SENTIMENT	S EH N T AH M AH N T
SENTIMENT(2)	S EH N AH M AH N T
SENTIMENTAL	S EH N T AH M EH N T AH L
SENTIMENTAL(2)	S EH N AH M EH N T AH L
SENTIMENTAL(3)	S EH N T AH M EH N AH L
SENTIMENTAL(4)	S EH N AH M EH N AH L
SENTIMENTALISM	S EH N T AH M EH N T AH L IH Z AH M
SENTIMENTALITY	S EH N T AH M EH N T AE L IH T IY
SENTIMENTALITY(2)	S EH N AH M EH N T AE L IH T IY
SENTIMENTALLY	S EH N T AH M EH N T AH L IY
SENTIMENTS	S EH N T AH M AH N T S
SENTIMENTS(2)	S EH N AH M AH N T S
SENTINEL	S EH N T AH N AH L
SENTINELS	S EH N T AH N AH L Z
SENTRIES	S EH N T R IY Z
SENTRY	S EH N T R IY
SEPARATE	S EH P ER EY T
SEPARATE(2)	S EH P ER IH T
SEPARATE(3)	S EH P R AH T
SEPARATED	S EH P ER EY T AH D
SEPARATED(2)	S EH P ER EY T IH D
SEPARATELY	S EH P ER AH T L IY
SEPARATELY(2)	S EH P R AH T L IY
SEPARATES	S EH P ER EY T S
SEPARATES(2)	S EH P ER IH T S
SEPARATING	S EH P ER EY T IH NG
SEPARATION	S EH P ER EY SH AH N
SEPARATIONS	S EH P ER EY SH AH N Z
