<SIL>	1.0     SIL
<SPN>	1.0     SPN
<UNK>	1.0     UNK
SHAKEDOWN	1.0	SH EY K D AW N
SHAKEN	1.0	SH EY K AH N
SHAKENLY	1.0	SH EY K AH N L IY
SHAKER	1.0	SH EY K ER
SHAKES	1.0	SH EY K S
SHAKESPEARE	1.0	SH EY K S P IY R
SHAKESPEARE'S	1.0	SH EY K S P IY R Z
SHAKESPEARIAN	1.0	SH AH K EH S IY EH R IY AH N
SHAKIN	1.0	SH AE K AH N
SHAKING	1.0	SH EY K IH NG
SHAKSPEARE	1.0	SH AE K S IY R
SHAKY	1.0	SH EY K IY
SHALE	1.0	SH EY L
SHALL	1.0	SH AE L
SHALLOW	1.0	SH AE L OW
SHALLOWNESS	1.0	SH AE L OW N AH S
SHALLOWS	1.0	SH AE L OW Z
SHALMANESER	1.0	SH AE L M EY N Z AH R
SHALMANESER'S	1.0	SH AE L M AE N AH S AH R Z
SHALT	1.0	SH AE L T
SHAM	1.0	SH AE M
SHAMASH	1.0	SH AE M AE SH
SHAMBLED	1.0	SH AE M B AH L D
SHAMBLES	1.0	SH AE M B AH L Z
SHAMBLING	1.0	SH AE M B AH L IH NG
SHAME	1.0	SH EY M
SHAMED	1.0	SH EY M D
SHAMEFACED	1.0	SH EY M F EY S T
SHAMEFACEDNESS	1.0	SH EY M F EY S AH D N AH S
SHAMEFUL	1.0	SH EY M F AH L
SHAMEFULLY	1.0	SH EY M F AH L IY
SHAMELESS	1.0	SH EY M L AH S
SHAMELESSLY	1.0	SH EY M L AH S L IY
SHAMELESSNESS	1.0	SH EY M L AH S N AH S
SHAMES	1.0	SH EY M Z
SHAMING	1.0	SH EY M IH NG
SHAMISEN	1.0	SH EY M IY Z AH N
SHAMMING	1.0	SH AE M IH NG
SHAMPOO	1.0	SH AE M P UW
SHAMPOOED	1.0	SH AE M P UW D
SHAMSHI	1.0	SH AE M SH IY
SHAN'T	1.0	SH AE N T
SHANDY	1.0	SH AE N D IY
SHANE	1.0	SH EY N
SHANGHAI	1.0	SH AE NG HH AY
SHANNA	1.0	SH AE N AH
SHANNON	1.0	SH AE N AH N
SHANTIES	1.0	SH AE N T IY Z
SHAPE	1.0	SH EY P
SHAPED	1.0	SH EY P T
SHAPELESS	1.0	SH EY P L AH S
SHAPELY	1.0	SH EY P L IY
SHAPES	1.0	SH EY P S
SHARE	1.0	SH EH R
SHARED	1.0	SH EH R D
SHAREHOLDER	1.0	SH EH R HH OW L D ER
SHARERS	1.0	SH EH R ER Z
SHARES	1.0	SH EH R Z
SHARING	1.0	SH EH R IH NG
SHARK	1.0	SH AA R K
SHARKS	1.0	SH AA R K S
SHARP	1.0	SH AA R P
SHARPEN	1.0	SH AA R P AH N
SHARPENED	1.0	SH AA R P AH N D
SHARPENING	1.0	SH AA R P AH N IH NG
SHARPENING(2)	1.0	SH AA R P N IH NG
SHARPER	1.0	SH AA R P ER
SHARPLY	1.0	SH AA R P L IY
SHARPNESS	1.0	SH AA R P N AH S
SHARPSHOOTERS	1.0	SH AA R P SH UW T ER Z
SHASTA	1.0	SH AE S T AH
SHASTA'S	1.0	SH AE S T AH Z
SHATTER	1.0	SH AE T ER
SHATTERED	1.0	SH AE T ER D
SHATTERING	1.0	SH AE T ER IH NG
SHAVE	1.0	SH EY V
SHAVED	1.0	SH EY V D
SHAVEN	1.0	SH EY V AH N
SHAVES	1.0	SH EY V Z
SHAVING	1.0	SH EY V IH NG
SHAW	1.0	SH AO
SHAW'S	1.0	SH AO Z
SHAWL	1.0	SH AO L
SHAWLS	1.0	SH AO L Z
SHE	1.0	SH IY
SHE'D	1.0	SH IY D
SHE'LL	1.0	SH IY L
SHE'S	1.0	SH IY Z
SHEAR	1.0	SH IH R
SHEARS	1.0	SH IY R Z
SHEAT	1.0	SH IY T
SHEATH	1.0	SH IY TH
SHEATHED	1.0	SH IY DH D
SHEAVES	1.0	SH IY V Z
SHED	1.0	SH EH D
SHEDDING	1.0	SH EH D IH NG
SHEDS	1.0	SH EH D Z
SHEEN	1.0	SH IY N
SHEENS	1.0	SH IY N Z
SHEEP	1.0	SH IY P
SHEEP'S	1.0	SH IY P S
SHEEPFOLD	1.0	SH IY P F OW L D
SHEEPISH	1.0	SH IY P IH SH
SHEEPISHLY	1.0	SH IY P IH SH L IY
SHEER	1.0	SH IH R
SHEERED	1.0	SH IH ER D
SHEET	1.0	SH IY T
SHEETS	1.0	SH IY T S
SHEFFIELD	1.0	SH EH F IY L D
SHEINBERG	1.0	SH AY N B ER G
SHELF	1.0	SH EH L F
SHELL	1.0	SH EH L
SHELLEY	1.0	SH EH L IY
SHELLFISH	1.0	SH EH L F IH SH
SHELLINESS	1.0	SH EH L IY N AH S
SHELLING	1.0	SH EH L IH NG
SHELLS	1.0	SH EH L Z
SHELTER	1.0	SH EH L T ER
SHELTERED	1.0	SH EH L T ER D
SHELTERING	1.0	SH EH L T ER IH NG
SHELVED	1.0	SH EH L V D
SHELVES	1.0	SH EH L V Z
SHENTLEMAN	1.0	SH EH N T L AH M AH N
SHEPHERD	1.0	SH EH P ER D
SHEPHERD'S	1.0	SH EH P ER D Z
SHEPHERDED	1.0	SH EH P ER D IH D
SHEPHERDESS	1.0	SH EH P ER D AH S
SHEPHERDESSES	1.0	SH EH P ER D AH S IH Z
SHEPHERDS	1.0	SH EH P ER D Z
SHEPTON	1.0	SH EH P T AH N
SHERBET	1.0	SH ER B AH T
SHERIDAN	1.0	SH EH R IH D AH N
SHERIDAN'S	1.0	SH EH R IH D AH N Z
SHERIFF	1.0	SH EH R AH F
SHERIFF(2)	1.0	SH EH R IH F
SHERIFFS	1.0	SH EH R AH F S
SHERLEY	1.0	SH ER L IY
SHERLOCK	1.0	SH ER L AA K
SHERLOCK'S	1.0	SH ER L AA K S
SHERRY	1.0	SH EH R IY
SHERWIN	1.0	SH ER W IH N
SHERWOOD	1.0	SH ER W UH D
SHET	1.0	SH EH T
SHETLAND	1.0	SH EH T L AH N D
SHETLANDS	1.0	SH EH T L AH N D Z
SHEVARDINO	1.0	SH AH V AA R D AH N OW
SHEW	1.0	SH UW
SHEWED	1.0	SH UW D
SHEWING	1.0	SH UW AH NG
SHIED	1.0	SH AY D
SHIELD	1.0	SH IY L D
SHIELDED	1.0	SH IY L D IH D
SHIELDING	1.0	SH IY L D IH NG
SHIELDS	1.0	SH IY L D Z
SHIFT	1.0	SH IH F T
SHIFTED	1.0	SH IH F T AH D
SHIFTED(2)	1.0	SH IH F T IH D
SHIFTING	1.0	SH IH F T IH NG
SHIFTLESSNESS	1.0	SH IH F T L AH S N AH S
SHIFTS	1.0	SH IH F T S
SHILALEY	1.0	SH AH L EY L IY
SHILLIN	1.0	SH IH L IH N
SHILLING	1.0	SH IH L IH NG
SHILLINGS	1.0	SH IH L IH NG Z
SHIMMER	1.0	SH IH M ER
SHIMMERING	1.0	SH IH M ER IH NG
SHIMMERS	1.0	SH IH M ER Z
SHIN	1.0	SH IH N
SHINDY	1.0	SH AY N D IY
SHINE	1.0	SH AY N
SHINERS	1.0	SH AY N ER Z
SHINES	1.0	SH AY N Z
SHINEY	1.0	SH AY N IY
SHINGLE	1.0	SH IH NG G AH L
SHINGLED	1.0	SH IH NG G AH L D
SHINGLES	1.0	SH IH NG G AH L Z
SHINGLING	1.0	SH IH NG G AH L IH NG
SHINING	1.0	SH AY N IH NG
SHINNED	1.0	SH IH N D
SHINTO	1.0	SH IH N T OW
SHINTY	1.0	SH IH N T IY
SHINY	1.0	SH AY N IY
SHIP	1.0	SH IH P
SHIP'S	1.0	SH IH P S
SHIPBOARD	1.0	SH IH P B AO R D
SHIPLOAD	1.0	SH IH P L OW D
SHIPMASTERS	1.0	SH IH P M AE S T ER Z
SHIPMATES	1.0	SH IH P M EY T S
SHIPMENT	1.0	SH IH P M AH N T
SHIPOWNERS	1.0	SH IH P OW N ER Z
SHIPPED	1.0	SH IH P T
SHIPPING	1.0	SH IH P IH NG
SHIPS	1.0	SH IH P S
SHIPWRECKED	1.0	SH IH P R EH K T
SHIPWRECKS	1.0	SH IH P R EH K S
SHIRE	1.0	SH AY R
SHIRK	1.0	SH ER K
SHIRKED	1.0	SH ER K T
SHIRKING	1.0	SH ER K IH NG
SHIRLEY	1.0	SH ER L IY
SHIRT	1.0	SH ER T
SHIRTS	1.0	SH ER T S
SHIRTSLEEVES	1.0	SH ER T S L IY V Z
SHIVER	1.0	SH IH V ER
SHIVERED	1.0	SH IH V ER D
SHIVERING	1.0	SH IH V ER IH NG
SHIVERY	1.0	SH IH V ER IY
SHO	1.0	SH OW
SHOAL	1.0	SH OW L
SHOCK	1.0	SH AA K
SHOCKED	1.0	SH AA K T
SHOCKING	1.0	SH AA K IH NG
SHOCKINGLY	1.0	SH AA K IH NG L IY
SHOCKS	1.0	SH AA K S
SHOD	1.0	SH AA D
SHODDY	1.0	SH AA D IY
SHOE	1.0	SH UW
SHOEBLACK	1.0	SH UW B L AE K
SHOEING	1.0	SH UW IH NG
SHOEMAKER	1.0	SH UW M EY K ER
SHOEMAKER'S	1.0	SH UW M EY K ER Z
SHOEMAKERS	1.0	SH UW M EY K ER Z
SHOES	1.0	SH UW Z
SHONE	1.0	SH OW N
SHOOK	1.0	SH UH K
SHOON	1.0	SH UW N
SHOOT	1.0	SH UW T
SHOOTING	1.0	SH UW T IH NG
SHOOTS	1.0	SH UW T S
SHOP	1.0	SH AA P
SHOP'S	1.0	SH AA P S
SHOPFUL	1.0	SH AA P F AH L
SHOPKEEPERS	1.0	SH AA P K IY P ER Z
SHOPMAN	1.0	SH AA P M AE N
SHOPMEN	1.0	SH AA P M EH N
SHOPPY	1.0	SH AA P IY
SHOPS	1.0	SH AA P S
SHOPTON	1.0	SH AA P T AH N
SHOPWOMAN	1.0	SH AA P W UH M AH N
SHORE	1.0	SH AO R
SHOREDITCH	1.0	SH OW R D IH CH
SHORELESS	1.0	SH OW R L AH S
SHORES	1.0	SH AO R Z
SHOREWARD	1.0	SH AO R W ER D
SHORN	1.0	SH AO R N
SHORT	1.0	SH AO R T
SHORTAGE	1.0	SH AO R T AH JH
SHORTAGE(2)	1.0	SH AO R T IH JH
SHORTBREADS	1.0	SH AO R T B R EH D Z
SHORTCOMINGS	1.0	SH AO R T K AH M IH NG Z
SHORTEN	1.0	SH AO R T AH N
SHORTENED	1.0	SH AO R T AH N D
SHORTENS	1.0	SH AO R T AH N Z
SHORTER	1.0	SH AO R T ER
SHORTEST	1.0	SH AO R T IH S T
SHORTLIVED	1.0	SH AO R T L IH V D
SHORTLIVED(2)	1.0	SH AO R T L AY V D
SHORTLY	1.0	SH AO R T L IY
SHORTNESS	1.0	SH AO R T N AH S
SHORTS	1.0	SH AO R T S
SHOT	1.0	SH AA T
SHOTS	1.0	SH AA T S
SHOULD	1.0	SH UH D
SHOULD'ST	1.0	SH OW L D S T
SHOULDER	1.0	SH OW L D ER
SHOULDERED	1.0	SH OW L D ER D
SHOULDERS	1.0	SH OW L D ER Z
SHOULDN'T	1.0	SH UH D AH N T
SHOULDNA	1.0	SH OW L D N AH
SHOULDST	1.0	SH OW L D S T
SHOUT	1.0	SH AW T
SHOUTED	1.0	SH AW T AH D
SHOUTED(2)	1.0	SH AW T IH D
SHOUTER	1.0	SH AW T ER
SHOUTING	1.0	SH AW T IH NG
SHOUTS	1.0	SH AW T S
SHOVE	1.0	SH AH V
SHOVED	1.0	SH AH V D
SHOVEL	1.0	SH AH V AH L
SHOVELED	1.0	SH AH V AH L D
SHOVELLED	1.0	SH AH V AH L D
SHOVELS	1.0	SH AH V AH L Z
SHOVING	1.0	SH AH V IH NG
SHOW	1.0	SH OW
SHOWED	1.0	SH OW D
SHOWER	1.0	SH AW ER
SHOWERED	1.0	SH AW ER D
SHOWERING	1.0	SH AW ER IH NG
SHOWERS	1.0	SH AW ER Z
SHOWEST	1.0	SH OW AH S T
SHOWING	1.0	SH OW IH NG
SHOWINGS	1.0	SH OW IH NG Z
SHOWMAN	1.0	SH OW M AH N
SHOWN	1.0	SH OW N
SHOWS	1.0	SH OW Z
SHOWY	1.0	SH OW IY
SHRANK	1.0	SH R AE NG K
SHRAPNEL	1.0	SH R AE P N AH L
SHRED	1.0	SH R EH D
SHREDS	1.0	SH R EH D Z
SHREWD	1.0	SH R UW D
SHREWDLY	1.0	SH R UW D L IY
SHREWDNESS	1.0	SH R UW D N AH S
SHRIEK	1.0	SH R IY K
SHRIEKED	1.0	SH R IY K T
SHRIEKING	1.0	SH R IY K IH NG
SHRIEKS	1.0	SH R IY K S
SHRILL	1.0	SH R IH L
SHRILLED	1.0	SH R IH L D
SHRILLING	1.0	SH R IH L IH NG
SHRIMP	1.0	SH R IH M P
SHRIMPS	1.0	SH R IH M P S
SHRINE	1.0	SH R AY N
SHRINES	1.0	SH R AY N Z
SHRINK	1.0	SH R IH NG K
SHRINKAGE	1.0	SH R IH NG K IH JH
SHRINKETH	1.0	SH R IH NG K IH TH
SHRINKING	1.0	SH R IH NG K IH NG
SHRINKS	1.0	SH R IH NG K S
SHRIVELED	1.0	SH R IH V AH L D
SHRIVELLED	1.0	SH R IH V AH L D
SHRIVELS	1.0	SH R IH V AH L Z
SHROUD	1.0	SH R AW D
SHROUDED	1.0	SH R AW D IH D
SHROUDS	1.0	SH R AW D Z
SHROVE	1.0	SH R OW V
SHRUB	1.0	SH R AH B
SHRUBBERIES	1.0	SH R AH B AH R IY Z
SHRUBBERY	1.0	SH R AH B ER IY
SHRUBS	1.0	SH R AH B Z
SHRUG	1.0	SH R AH G
SHRUGGED	1.0	SH R AH G D
SHRUGGING	1.0	SH R AH G IH NG
SHRUNK	1.0	SH R AH NG K
SHRUNKEN	1.0	SH R AH NG K AH N
SHUDDER	1.0	SH AH D ER
SHUDDERED	1.0	SH AH D ER D
SHUDDERING	1.0	SH AH D ER IH NG
SHUFFLE	1.0	SH AH F AH L
SHUFFLED	1.0	SH AH F AH L D
SHUFFLES	1.0	SH AH F AH L Z
SHUFFLING	1.0	SH AH F L IH NG
SHUFFLING(2)	1.0	SH AH F UH L IH NG
SHUK	1.0	SH AH K
SHUN	1.0	SH AH N
SHUNNED	1.0	SH AH N D
SHUNS	1.0	SH AH N Z
SHUNTED	1.0	SH AH N T IH D
SHUT	1.0	SH AH T
SHUTE	1.0	SH UW T
SHUTS	1.0	SH AH T S
SHUTTERS	1.0	SH AH T ER Z
SHUTTING	1.0	SH AH T IH NG
SHUTTLE	1.0	SH AH T AH L
SHY	1.0	SH AY
SHYEST	1.0	SH AY AH S T
SHYLY	1.0	SH AY L IY
SHYNESS	1.0	SH AY N AH S
SIAMESE	1.0	S AY AH M IY Z
SIBONEY	1.0	S AH B OW N IY
SIBYL	1.0	S IH B AH L
SIBYL'S	1.0	S IH B AH L Z
SICILIAN	1.0	S IH S IH L IY AH N
SICILY	1.0	S IH S AH L IY
SICK	1.0	S IH K
SICKENED	1.0	S IH K AH N D
SICKENING	1.0	S IH K AH N IH NG
SICKENING(2)	1.0	S IH K N IH NG
SICKENS	1.0	S IH K AH N Z
SICKING	1.0	S IH K IH NG
SICKLE	1.0	S IH K AH L
SICKLES	1.0	S IH K AH L Z
SICKLINESS	1.0	S IH K L IY N AH S
SICKLY	1.0	S IH K L IY
SICKNESS	1.0	S IH K N AH S
SIDE	1.0	S AY D
SIDEBOARD	1.0	S AY D B OW R D
SIDED	1.0	S AY D AH D
SIDED(2)	1.0	S AY D IH D
SIDELONG	1.0	S AY D L AO NG
SIDES	1.0	S AY D Z
SIDETRACKED	1.0	S AY D T R AE K T
SIDEWALK	1.0	S AY D W AO K
SIDEWALKS	1.0	S AY D W AO K S
SIDEWAYS	1.0	S AY D W EY Z
SIDEWISE	1.0	S AY D W AY Z
SIDING	1.0	S AY D IH NG
SIDIS	1.0	S AY D IY Z
SIDLED	1.0	S AY D AH L D
SIDLING	1.0	S AY D AH L IH NG
SIDLING(2)	1.0	S AY D L IH NG
SIDNEY	1.0	S IH D N IY
SIDONIANS	1.0	S AH D OW N IY AH N Z
SIEGE	1.0	S IY JH
SIEGES	1.0	S IY JH IH Z
SIEMENS	1.0	S IY M AH N Z
SIERRA	1.0	S IY EH R AH
SIEUR	1.0	S Y UW R
SIEVE	1.0	S IH V
SIEVES	1.0	S IH V Z
SIFT	1.0	S IH F T
SIFTED	1.0	S IH F T IH D
SIFTING	1.0	S IH F T IH NG
SIGH	1.0	S AY
SIGHED	1.0	S AY D
SIGHING	1.0	S AY IH NG
SIGHS	1.0	S AY Z
SIGHT	1.0	S AY T
SIGHTED	1.0	S AY T AH D
SIGHTED(2)	1.0	S AY T IH D
SIGHTEDNESS	1.0	S AY T AH D N AH S
SIGHTERS	1.0	S AY T ER Z
SIGHTLESS	1.0	S AY T L AH S
SIGHTS	1.0	S AY T S
SIGHTSEEING	1.0	S AY T S IY IH NG
SIGHTSEERS	1.0	S AY T S IY ER Z
SIGHTSEERS(2)	1.0	S AY T S IY R Z
SIGILS	1.0	S AY JH AH L Z
SIGMA	1.0	S IH G M AH
SIGMUND	1.0	S IH G M AH N D
SIGN	1.0	S AY N
SIGNA	1.0	S IH G N AH
SIGNAL	1.0	S IH G N AH L
SIGNALING	1.0	S IH G N AH L IH NG
SIGNALIZE	1.0	S IH G N AH L AY Z
SIGNALIZED	1.0	S IH G N AH L AY Z D
SIGNALS	1.0	S IH G N AH L Z
SIGNATURE	1.0	S IH G N AH CH ER
SIGNATURES	1.0	S IH G N AH CH ER Z
SIGNBOARDS	1.0	S AY N B OW R D Z
SIGNED	1.0	S AY N D
SIGNET	1.0	S IH G N IH T
SIGNIFICANCE	1.0	S AH G N IH F IH K AH N S
SIGNIFICANCE(2)	1.0	S IH G N IH F IH K AH N S
SIGNIFICANCES	1.0	S IH G N IH F IH K AH N S IH Z
SIGNIFICANT	1.0	S AH G N IH F IH K AH N T
SIGNIFICANT(2)	1.0	S IH G N IH F IH K AH N T
SIGNIFICANTLY	1.0	S IH G N IH F IH K AH N T L IY
SIGNIFICATION	1.0	S IH G N IH F IH K EY SH AH N
SIGNIFIED	1.0	S IH G N AH F AY D
SIGNIFIES	1.0	S IH G N AH F AY Z
SIGNIFY	1.0	S IH G N AH F AY
SIGNIFYING	1.0	S IH G N AH F AY IH NG
SIGNING	1.0	S AY N IH NG
SIGNOR	1.0	S IY N Y AO R
SIGNOR'S	1.0	S IY N Y AO R Z
SIGNORA	1.0	S IY N Y OW R AH
SIGNORE	1.0	S IY N Y AO R EY
SIGNORINI	1.0	S IH G N AO R AH N IY
SIGNORINO	1.0	S IH G N AO R AH N OW
SIGNORS	1.0	S IY N Y AO R Z
SIGNS	1.0	S AY N Z
SIGUNA	1.0	S IH G Y UW N AH
SILAS	1.0	S AY L AH S
SILENCE	1.0	S AY L AH N S
SILENCED	1.0	S AY L AH N S T
SILENCES	1.0	S AY L AH N S IH Z
SILENCING	1.0	S AY L AH N S IH NG
SILENT	1.0	S AY L AH N T
SILENTLY	1.0	S AY L AH N T L IY
SILENUS	1.0	S IH L AH N AH S
SILHOUETTE	1.0	S IH L AH W EH T
SILK	1.0	S IH L K
SILKEN	1.0	S IH L K AH N
SILKS	1.0	S IH L K S
SILKY	1.0	S IH L K IY
SILL	1.0	S IH L
SILLIES	1.0	S IH L IY Z
SILLIEST	1.0	S IH L IY AH S T
SILLY	1.0	S IH L IY
SILVER	1.0	S IH L V ER
SILVER'S	1.0	S IH L V ER Z
SILVERBRIDGE	1.0	S IH L V ER B R IH JH
SILVERED	1.0	S IH L V ER D
SILVERSMITH'S	1.0	S IH L V ER S M IH TH S
SILVERWARE	1.0	S IH L V ER W EH R
SILVERY	1.0	S IH L V ER IY
SIMANCAS	1.0	S AH M AE NG K AH Z
SIMCOE	1.0	S IH M K OW
SIMIAN	1.0	S IH M IY AH N
SIMIANS	1.0	S IH M IY AH N Z
SIMIFONTE	1.0	S IH M AH F AH N T
SIMILAR	1.0	S IH M AH L ER
SIMILARITY	1.0	S IH M AH L EH R AH T IY
SIMILARLY	1.0	S IH M AH L ER L IY
SIMILE	1.0	S IH M AH L IY
SIMILITUDE	1.0	S AH M IH L AH T UW D
SIMILITUDES	1.0	S AH M IH L AH T UW D Z
SIMMER	1.0	S IH M ER
SIMON	1.0	S AY M AH N
SIMON'S	1.0	S AY M AH N Z
SIMONIANS	1.0	S AH M OW N IY AH N Z
SIMONOV	1.0	S IH M AH N AH V
SIMONOV'S	1.0	S IH M AH N AH V Z
SIMPER	1.0	S IH M P ER
SIMPLE	1.0	S IH M P AH L
SIMPLER	1.0	S IH M P AH L ER
SIMPLER(2)	1.0	S IH M P L ER
SIMPLES	1.0	S IH M P AH L Z
SIMPLEST	1.0	S IH M P L AH S T
SIMPLETON	1.0	S IH M P AH L T AH N
SIMPLETON'S	1.0	S IH M P AH L T AH N Z
SIMPLETONS	1.0	S IH M P AH L T AH N Z
SIMPLICITY	1.0	S IH M P L IH S AH T IY
SIMPLICITY(2)	1.0	S IH M P L IH S IH T IY
SIMPLIFY	1.0	S IH M P L AH F AY
SIMPLIFYING	1.0	S IH M P L AH F AY IH NG
SIMPLY	1.0	S IH M P L IY
SIMPSON	1.0	S IH M P S AH N
SIMPSON'S	1.0	S IH M P S AH N Z
SIMPSONS	1.0	S IH M P S AH N Z
SIMULTANEOUS	1.0	S AY M AH L T EY N IY AH S
SIMULTANEOUSLY	1.0	S AY M AH L T EY N IY AH S L IY
SIN	1.0	S IH N
SINBAD	1.0	S IH N B AE D
SINCE	1.0	S IH N S
SINCERE	1.0	S IH N S IH R
SINCERELY	1.0	S IH N S IH R L IY
SINCEREST	1.0	S IH N S IH ER AH S T
SINCERITY	1.0	S IH N S EH R AH T IY
SINECURE	1.0	S AY N K Y UH R
SINEWS	1.0	S IH N Y UW Z
SINEWY	1.0	S IH N Y UW IY
SINFUL	1.0	S IH N F AH L
SING	1.0	S IH NG
SINGED	1.0	S IH N JH D
SINGER	1.0	S IH NG ER
SINGER'S	1.0	S IH NG ER Z
SINGERS	1.0	S IH NG ER Z
SINGHALESE	1.0	S IH N AH L IY Z
SINGING	1.0	S IH NG IH NG
SINGLE	1.0	S IH NG G AH L
SINGLED	1.0	S IH NG G AH L D
SINGLETON	1.0	S IH NG G AH L T AH N
SINGLETON'S	1.0	S IH NG G AH L T AH N Z
SINGLY	1.0	S IH NG G L IY
SINGSONG	1.0	S IH NG S AO NG
SINGULAR	1.0	S IH NG G Y AH L ER
SINGULARLY	1.0	S IH NG G Y AH L ER L IY
SINIGAGLIA	1.0	S IH N AH G AE G L IY AH
SINISTER	1.0	S IH N IH S T ER
SINK	1.0	S IH NG K
SINKING	1.0	S IH NG K IH NG
SINKINGS	1.0	S IH NG K IH NG Z
SINKS	1.0	S IH NG K S
SINNED	1.0	S IH N D
SINNER	1.0	S IH N ER
SINNER'S	1.0	S IH N ER Z
SINNERS	1.0	S IH N ER Z
SINS	1.0	S IH N Z
SINTRY	1.0	S IH N T R AY
SINUOUS	1.0	S IH N W AH S
SIOUX	1.0	S UW
SIP	1.0	S IH P
SIPPED	1.0	S IH P T
SIPPING	1.0	S IH P IH NG
SIPS	1.0	S IH P S
SIR	1.0	S ER
SIRDARS	1.0	S AH R D AH R Z
SIRE	1.0	S AY ER
SIREN	1.0	S AY R AH N
SIRENS	1.0	S AY R AH N Z
SIRR'S	1.0	S AH R Z
SIRS	1.0	S ER R Z
SIS	1.0	S IH S
SISERA	1.0	S IY Z IH R AH
SISKIYOU	1.0	S IH S IY AY UW
SISSON	1.0	S IH S AH N
SISSON'S	1.0	S IH S AH N Z
SISSY	1.0	S IH S IY
SISTER	1.0	S IH S T ER
SISTER'S	1.0	S IH S T ER Z
SISTERS	1.0	S IH S T ER Z
SIT	1.0	S IH T
SITE	1.0	S AY T
SITES	1.0	S AY T S
SITGREAVES	1.0	S IH T G R IY V Z
SITS	1.0	S IH T S
SITTEN	1.0	S IH T AH N
SITTIN	1.0	S IH T IH N
SITTING	1.0	S IH T IH NG
SITTINGS	1.0	S IH T IH NG Z
SITUATE	1.0	S IH CH UW EY T
SITUATED	1.0	S IH CH UW EY T IH D
SITUATION	1.0	S IH CH UW EY SH AH N
SITUATIONS	1.0	S IH CH UW EY SH AH N Z
SIX	1.0	S IH K S
SIXES	1.0	S IH K S IH Z
SIXPENCE	1.0	S IH K S AH N S
SIXPENCES	1.0	S IH K S EH N S AH Z
SIXPENNY	1.0	S IH K S P EH N IY
SIXTEEN	1.0	S IH K S T IY N
SIXTEENTH	1.0	S IH K S T IY N TH
SIXTH	1.0	S IH K S TH
SIXTY	1.0	S IH K S T IY
SIZAR	1.0	S AY Z ER
SIZE	1.0	S AY Z
SIZED	1.0	S AY Z D
SIZES	1.0	S AY Z AH Z
SIZES(2)	1.0	S AY Z IH Z
SIZII	1.0	S IH Z IY
SIZZLING	1.0	S IH Z AH L IH NG
SIZZLING(2)	1.0	S IH Z L IH NG
SKAGGS	1.0	S K AE G Z
SKAGGS'S	1.0	S K AE G Z IX Z
SKAGGSY	1.0	S K AE G Z IY
SKALDS	1.0	S K AE L D Z
SKATE	1.0	S K EY T
SKATED	1.0	S K EY T IH D
SKATES	1.0	S K EY T S
SKATING	1.0	S K EY T IH NG
SKEERED	1.0	S K IH R D
SKEIN	1.0	S K EY N
SKELETON	1.0	S K EH L AH T AH N
SKELETONS	1.0	S K EH L AH T AH N Z
SKELLENBURG	1.0	S K EH L EH N B AH R G
SKELTER	1.0	S K EH L T ER
SKELTON	1.0	S K EH L T AH N
SKEPTICAL	1.0	S K EH P T AH K AH L
SKEPTICAL(2)	1.0	S K EH P T IH K AH L
SKEPTICISM	1.0	S K EH P T IH S IH Z AH M
SKETCH	1.0	S K EH CH
SKETCHED	1.0	S K EH CH T
SKETCHES	1.0	S K EH CH AH Z
SKETCHES(2)	1.0	S K EH CH IH Z
SKETCHING	1.0	S K EH CH IH NG
SKI	1.0	S K IY
SKIES	1.0	S K AY Z
SKIFF	1.0	S K IH F
SKILFUL	1.0	S K IH L F AH L
SKILFULLY	1.0	S K IH L F Y UH L IY
SKILL	1.0	S K IH L
SKILL'D	1.0	S K IH L D
SKILLED	1.0	S K IH L D
SKILLFUL	1.0	S K IH L F AH L
SKILLS	1.0	S K IH L Z
SKIM	1.0	S K IH M
SKIMMED	1.0	S K IH M D
SKIMMER	1.0	S K IH M ER
SKIMMING	1.0	S K IH M IH NG
SKIMMINGS	1.0	S K IH M IH NG Z
SKIMPY	1.0	S K IH M P IY
SKIN	1.0	S K IH N
SKINNE	1.0	S K IH N
SKINNED	1.0	S K IH N D
SKINNERS	1.0	S K IH N ER Z
SKINNES	1.0	S K IH N Z
SKINNY	1.0	S K IH N IY
SKINS	1.0	S K IH N Z
SKIP	1.0	S K IH P
SKIPPED	1.0	S K IH P T
SKIPPER	1.0	S K IH P ER
SKIPPERS	1.0	S K IH P ER Z
SKIPPING	1.0	S K IH P IH NG
SKIRMISH	1.0	S K ER M IH SH
SKIRMISHERS	1.0	S K ER M IH SH ER Z
SKIRMISHES	1.0	S K ER M IH SH IH Z
SKIRMISHING	1.0	S K ER M IH SH IH NG
SKIRT	1.0	S K ER T
SKIRTED	1.0	S K ER T IH D
SKIRTING	1.0	S K ER T IH NG
SKIRTS	1.0	S K ER T S
SKITTLES	1.0	S K IH T AH L Z
SKULKED	1.0	S K AH L K T
SKULL	1.0	S K AH L
SKULLS	1.0	S K AH L S
SKULLS(2)	1.0	S K AH L Z
SKUNK	1.0	S K AH NG K
SKY	1.0	S K AY
SKYEY	1.0	S K AY IY
SKYLARK	1.0	S K AY L AA R K
SKYLIGHT	1.0	S K AY L AY T
SKYLINE	1.0	S K AY L AY N
SKYWARD	1.0	S K AY W ER D
SKYWARDS	1.0	S K AY W ER D Z
SLAB	1.0	S L AE B
SLABS	1.0	S L AE B Z
